original_tokens,az_tokens,az_grade,tr_tokens,tr_grade
"Three patients received high doses of chlormethiazole for alcohol withdrawal symptoms , and one took a suicidal overdose of nitrazepam .","Üç xəstə spirtin tərkibindən imtina simptomları üçün yüksək dozada xlorometiazol aldı, bir xəstə isə nitrazepamın intihar məqsədli dozada artıq qəbul etdi.",1,Üç hasta alkol yoksunluk semptomları için yüksek dozda klormetiazol aldı ve biri intihar amaçlı nitrazepam aşırı dozu aldı.,2
"Mirtazapine , the first noradrenergic and specific serotonergic antidepressant ( NaSSA ), has been associated with RLS in several recent publications .","Mirtazapin, ilk noradrenerjik və spesifik serotonin antidepressanı (NaSSA), son bir neçə nəşrdə RLS ilə əlaqələndirilmişdir.",3,"Mirtazapin, ilk noradrenerjik ve spesifik serotoninerg antidepresan (NaSSA), son birkaç yayında RLS ile ilişkilendirilmiştir.",3
Pure red cell aplasia associated with diphenylhydantoin medication has been reported in 3 patients .,Diphenylhidantoin müalicəsi ilə əlaqəli saf qırmızı hüceyrə aplaziyası 3 xəstədə bildirilmişdir.,3,Diphenylhidantoin tedavisi ile ilişkili saf kırmızı hücre aplazisi 3 hastada bildirilmiştir.,3
Treatment of psoriasis with azathioprine .,Psoriazın azatioprinlə müalicəsi.,3,Psoriasis tedavisi azatiyoprin ile.,2
BACKGROUND : Pain on injection of propofol is unpleasant .,MƏNBƏ: Propofolun inyeksiyası zamanı ağrı narahat edicidir.,3,ARKAPLAN: Propofol enjeksiyonu sırasında ağrı rahatsız edicidir.,3
"Coenzyme Q10 significantly compensated deficits in the antioxidant defense mechanisms ( reduced glutathione level and superoxide dismutase activity ), suppressed lipid peroxidation , decreased the elevations of tumor necrosis factor - alpha , nitric oxide and platinum ion concentration , and attenuated the reductions of selenium and zinc ions in renal tissue resulted from cisplatin administration .","Koenzim Q10, antioksidant müdafiə mexanizmlərindəki (azalmış qlutatiyon səviyyəsi və superoksid dismutaz aktivliyi) çatışmazlıqları əhəmiyyətli dərəcədə kompensasiya etdi, lipid peroksidasiya prosesini basdırdı, şiş nekroz faktoru - alfa, nitrat oksid və platin ionu konsentrasiyalarının artımlarını azaltdı və cisplatin tətbiqindən sonra renal toxumada selenium və sink ionlarının azalmasını yüngülləşdirdi.",2,"Koenzim Q10, antioksidan savunma mekanizmalarındaki (azalmış glutatyon seviyesi ve süperoksit dismutaz aktivitesi) eksiklikleri önemli ölçüde telafi etti, lipid peroksidasyonunu baskıladı, tümör nekroz faktörü - alfa, nitrik oksit ve platin iyon konsantrasyonundaki artışları azalttı ve cisplatin uygulamasından kaynaklanan böbrek dokusundaki selenyum ve çinko iyonlarındaki azalmaları hafifletti.",3
"Cases have been published of coronary vasospasm , myocardial ischemia , and myocardial infarction occurring after sumatriptan use .","Sumatriptan istifadəsindən sonra koronar vazospazm, miyokard iskemiyası və miyokard infarktı halları dərc edilmişdir.",3,"Sumatriptan kullanımı sonrasında koroner vazospazm, miyokard iskemisi ve miyokard enfarktüsü vakaları yayımlanmıştır.",3
"OBJECTIVE : To report a case of a severe interaction between simvastatin , amiodarone , and atazanavir resulting in rhabdomyolysis and acute renal failure .","MƏQSƏD: Simvastatin, amiodaron və atazanavir arasında ciddi bir qarşılıqlı təsirin nəticəsində meydana gələn rabdomioliz və kəskin böyrək çatışmazlığına dair bir hadisəni bildirmək.",3,"AMAÇ: Rhabdomyoliz ve akut böbrek yetmezliğine yol açan simvastatin, amiodaron ve atazanavir arasındaki şiddetli etkileşimi rapor etmek.",3
These data suggest naloxone reverses respiratory paralysis produced by thiopental and involves GABA,Bu məlumatlar naloksonun tiopental tərəfindən yaradılan nəfəs iflicini geri çevirdiyini və GABA-nı əhatə etdiyini göstərir.,2,"Bu veriler, naloksonun tiopental tarafından üretilen solunum felcini tersine çevirdiğini ve GABA'yı içerdiğini önermektedir.",3
The mechanism by which omeprazole caused the patient ' s hemolytic anemia,Omeprazolun xəstənin hemolitik anemiyasına səbəb olan mexanizmi,3,Omeprazolün hastanın hemolitik anemisine neden olduğu mekanizma,3
The pulmonary toxicity of amiodarone is thought to result from direct injury related to the intracellular accumulation of phospholipid and T cell - mediated hypersensitivity pneumonitis .,"Amiodaronun pulmoner toksikliyinin, fosfolipidlərin hüceyrədaxili yığılması və T hüceyrələrinin vasitəçiliyi ilə baş verən həssaslıq pnevmonitinə bağlı birbaşa zədələnmədən qaynaqlandığı düşünülür.",3,"Amiodaronun pulmoner toksisitesinin, fosfolipidlerin hücre içindeki birikimiyle ilişkili doğrudan hasar ve T hücreleri aracılı aşırı duyarlılık pnömonisi nedeniyle ortaya çıktığı düşünülmektedir.",3
5 % timolol suspension that forms a gel on application to the conjunctiva ( timolol gellan ) on the 24 - hour heart rate in patients currently being treated for glaucoma to quantify the reduction in mean heart rate .,"5 % timolol suspenziyası, konjunktivaya tətbiq edildikdə gel halına gəlir (timolol gellan), bu, hazırda qlaukoma müalicəsi alan xəstələrdə 24 saatlıq ürək döyüntüsünü ölçmək üçün orta ürək döyüntüsündəki azalmayı qiymətləndirmək məqsədini güdür.",2,"Gözyaşına uygulandığında jel oluşturan %5 timolol süspansiyonu (timolol gellan), glokom tedavisi gören hastalarda 24 saatlik kalp atış hızını ölçmek için ortalama kalp atış hızındaki azalmayı nicelendirir.",2
"This report demonstrates that not only intravenous , but also oral bisphosphonates can aggravate proteinuria and acute renal failure","Bu hesabat göstərir ki, yalnız intravenöz, həm də ağızdan qəbul edilən bisfosfonatlar proteinuriya və kəskin böyrək çatışmazlığını pisləşdirə bilər.",0,"Bu rapor, yalnızca intravenöz bisfosfonatların değil, aynı zamanda oral bisfosfonatların da proteinüriyi ve akut böbrek yetmezliğini kötüleştirebileceğini göstermektedir.",3
"Myopathy , associated in some cases with myoglobinuria , and in 2 cases with transient renal failure , has been rarely reported with lovastatin , especially in patients concomitantly treated with cyclosporin , gemfibrozil or niacin .","Miyopati, bəzi hallarda miyoglobinuriya ilə, 2 halda isə müvəqqəti böyrək çatışmazlığı ilə əlaqəli olaraq, lovastatin ilə nadir hallarda bildirilmişdir, xüsusilə siklosporin, gemfibrozil və ya niasin ilə eyni zamanda müalicə olunan xəstələrdə.",1,"Myopati, bazı durumlarda myoglobinüri ile ve 2 vakada geçici böbrek yetmezliği ile ilişkili olarak, lovastatin ile nadiren bildirilmiştir, özellikle siklosporin, gemfibrozil veya niasin ile eşzamanlı tedavi edilen hastalarda.",3
Results from our behavioral phenotyping indicated that anxiety - like behavior was increased in mice exposed to BPA .,Davranış fenotipləmə nəticələrimiz BPA-ya məruz qalan siçanlarda narahatlıq tipli davranışın artdığını göstərdi.,3,"Davranışsal fenotipleme sonuçlarımız, BPA'ya maruz kalan farelerde anksiyete benzeri davranışların arttığını gösterdi.",3
Failure of ancrod in the treatment of heparin - induced arterial thrombosis .,Heparinlə inducə olunmuş arterial trombozun müalicəsində ancrodun uğursuzluğu.,0,Heparin kaynaklı arteriyel tromboz tedavisinde ancrodun başarısızlığı.,3
"Their cardiac tissues were processed for light microscopy , after which cardiomyocyte damage was evaluated according to Billingham ( in Cancer Treat Rep 62 ( 6 ): 865 - 872 , 1978 ). Microscopic evaluation revealed that treatment with DOX alone induced significant cardiac damage in comparison to the saline control group ( P < 0 .","Onların ürək toxumaları işıq mikroskopiyası üçün emal edildi, bundan sonra kardiyomiosit zədələnməsi Billingham-a (Cancer Treat Rep 62 (6): 865 - 872, 1978) uyğun olaraq qiymətləndirildi. Mikroskopik qiymətləndirmə göstərdi ki, yalnız DOX ilə müalicə, duz nəzarət qrupuna nisbətən əhəmiyyətli ürək zədələnməsinə səbəb oldu (P < 0.",3,"Kalp dokuları ışık mikroskobu için işlendi ve ardından kardiyomiyosit hasarı Billingham'a göre değerlendirildi (Cancer Treat Rep 62 (6): 865 - 872, 1978). Mikroskobik değerlendirme, yalnızca DOX ile tedavinin, tuzlu kontrol grubuna kıyasla önemli kalp hasarına neden olduğunu ortaya koydu (P < 0.",3
Histological evaluation of hearts from all rats given DOX revealed significant slight degrees of perivascular and interstitial fibrosis .,DOX verilmiş bütün siçanların ürəklərinin histoloji qiymətləndirilməsi perivaskulyar və interstisial fibrozun əhəmiyyətli dərəcədə az dərəcələrini ortaya qoydu.,0,"DOX verilen tüm sıçanların kalplerinin histolojik değerlendirmesi, perivasküler ve interstisyel fibrozisin hafif derecelerinin önemli ölçüde mevcut olduğunu ortaya koydu.",3
"A discussion of the history of ergot includes its original discovery , the epidemics of gangrene that it has caused through the ages and its past and present role in the management of migraine headache .","Ergotun tarixi müzakirəsi onun ilkin kəşfini, tarix boyu səbəb olduğu qangren epidemiyalarını və migren baş ağrısının müalicəsindəki keçmiş və indiki rolunu əhatə edir.",3,"Ergot'un tarihine dair bir tartışma, onun orijinal keşfini, zamanla neden olduğu kangren salgınlarını ve migren baş ağrısının yönetimindeki geçmiş ve güncel rolünü içermektedir.",3
Acute hepatitis attack after exposure to telithromycin .,Telitromisinə məruz qaldıqdan sonra kəskin hepatit hücumu.,3,Telitromisine maruz kalma sonrası akut hepatit atağı.,3
"Above mentioned AZT incorporation may have induced an ineffective hemopoiesis in the primitive hemopoietic progenitor cells , which is known to be seen commonly in the myelodysplastic syndrome","Yuxarıda qeyd olunan AZT-nin daxil edilməsi, primitiv hemopoetik progenitor hüceyrələrində effektiv olmayan hemopoeziyə səbəb ola bilər ki, bu da myelodisplastik sindromda tez-tez müşahidə olunur.",2,"Yukarıda bahsedilen AZT entegrasyonu, ilkel hematopoietik progenitör hücrelerinde etkisiz hematopoezi indüklemiş olabilir; bu durum, myelodisplastik sendromda yaygın olarak görülmektedir.",3
"STZ also significantly increased the level of ROS , nitrite , Ca ( 2 +) and reduced the mitochondrial activity in synaptosomal preparation illustrating free radical generation and excitotoxicity .","STZ həmçinin ROS, nitrit, Ca (2+) səviyyəsini əhəmiyyətli dərəcədə artırdı və sinaptosomal hazırlıqda mitoxondrial aktivliyi azaltdı, bu da sərbəst radikal istehsalını və eksitotoksikliyi göstərir.",3,"STZ ayrıca ROS, nitrit, Ca (2+) seviyelerini önemli ölçüde artırmış ve sinaptosomal hazırlıkta mitokondriyal aktiviteyi azaltarak serbest radikal oluşumunu ve eksitotoksisiteyi göstermiştir.",3
"Systemic pretreatment with ketanserin , a relatively specific type - 2 serotonin receptor antagonist , significantly attenuated the muscle rigidity produced in rats by the potent short - acting opiate agonist alfentanil .","Ketanserin ilə sistemik ön müalicə, nisbətən spesifik tip 2 serotonin reseptor antagonistidir, siçanlarda güclü qısa müddətli opioid agonisti alfentanil tərəfindən yaradılan əzələ sərtliyini əhəmiyyətli dərəcədə azaldıb.",2,"Ketanserin ile sistemik ön tedavi, güçlü kısa etkili opioid agonisti alfentanil tarafından sıçanlarda üretilen kas sertliğini önemli ölçüde azalttı; ketanserin, nispeten spesifik bir tip-2 serotonin reseptör antagonisti olarak bilinir.",3
"The current study dealt with the protective role of mangiferin , a polyphenol from Mangifera indica Linn .( Anacardiaceae ), on isoproterenol ( ISPH )- induced myocardial infarction ( MI ) in rats through its antioxidative mechanism .","Mövcud tədqiqat, Mangifera indica Linn. (Anacardiaceae) bitkisindən alınan polifenol olan mangiferinin, isoproterenol (ISPH) tərəfindən törədilən miokard infarktı (MI) üzərindəki qoruyucu rolunu onun antioksidant mexanizmi vasitəsilə araşdırmışdır.",3,"Mevcut çalışma, Mangifera indica Linn. (Anacardiaceae) bitkisinden elde edilen bir polifenol olan mangiferinin, izoproterenol (ISPH) ile indüklenen miyokard enfarktüsü (MI) üzerindeki koruyucu rolünü, antioksidan mekanizması aracılığıyla sıçanlar üzerinde incelemiştir.",3
"Seven patients developed glucose tolerance curves characteristic of diabetes but these were mild , did not require treatment and returned to normal on ceasing didanosine","Yeddi xəstə diabetə xas olan qlükoza tolerans əyriləri inkişaf etdirdi, lakin bunlar yüngül idi, müalicə tələb etmədi və didanozin dayandırıldıqdan sonra normal vəziyyətə qayıtdı.",0,"Yedi hastada diyabetle karakterize olan glukoz tolerans eğrileri gelişti, ancak bunlar hafifti, tedavi gerektirmedi ve didanosin kesildiğinde normale döndü.",3
"BACKGROUND : The use of appetite suppressants in Europe has been associated with the development of primary pulmonary hypertension ( PPH ). Recently , fenfluramine appetite suppressants became widely used in the United States but were withdrawn in September 1997 because of concerns over adverse effects .","MƏNBƏ: Avropada iştah azaldıcıların istifadəsi birincil pulmonar hipertensiyanın (PPH) inkişafı ilə əlaqələndirilmişdir. Son zamanlarda fenfluramin iştah azaldıcıları ABŞ-da geniş istifadə edilməyə başlandı, lakin 1997-ci ilin sentyabrında mənfi təsirlər ilə bağlı narahatlıqlar səbəbindən geri çağırıldı.",3,"ARKA PLAN: Avrupa'da iştah kesici ilaçların kullanımı, primer pulmoner hipertansiyon (PPH) gelişimi ile ilişkilendirilmiştir. Son zamanlarda, fenfluramin iştah kesicileri Amerika Birleşik Devletleri'nde yaygın olarak kullanılmaya başlandı ancak olumsuz etkilerle ilgili endişeler nedeniyle Eylül 1997'de geri çekildi.",3
Effects of ginsenosides on opioid - induced hyperalgesia in mice .,Ginsenosidlərin siçanlarda opioidlə induksiya olunmuş hiperaleziya üzərindəki təsirləri.,2,Ginsenosidlerin farelerde opioid kaynaklı hiperaljezi üzerindeki etkileri.,3
AIM : This study was carried out to determine the effect of injection duration on bruising and pain following the administration of the subcutaneous injection of heparin .,MƏQSƏD: Bu tədqiqat heparinin subkutan inyeksiyasının tətbiqindən sonra qarınma və ağrıya inyeksiya müddətinin təsirini müəyyən etmək üçün aparılmışdır.,0,"AMAÇ: Bu çalışma, heparin subkutan enjeksiyonunun uygulanmasının ardından morarma ve ağrı üzerindeki enjeksiyon süresinin etkisini belirlemek amacıyla gerçekleştirilmiştir.",3
We examined the case of a lithium - treated patient who had recurrent hypercalcemia to better understand the disease process .,Biz xəstəliyin prosesini daha yaxşı başa düşmək üçün təkrarlanan hiperparatiroidizm olan litium müalicəsi alan bir xəstənin vəziyyətini araşdırdıq.,3,"Tekrar eden hiperkalsemisi olan lityum tedavisi gören bir hastanın durumunu, hastalık sürecini daha iyi anlamak için inceledik.",3
"All adenosine receptor agonists significantly decreased the locomotor activity in mice , and the effects were dose - dependent .",Bütün adenozin reseptor agonistləri siçanlarda lokomotor fəaliyyətini əhəmiyyətli dərəcədə azaltdı və təsirlər doza asılı idi.,2,"Tüm adenozin reseptör agonistleri, farelerde lokomotor aktiviteyi önemli ölçüde azalttı ve etkiler doz bağımlıydı.",3
Recurrent acute interstitial nephritis induced by azithromycin .,Azitromisin tərəfindən törədilən təkrarlanan kəskin interstisial nefrit.,3,Azitromisin tarafından indüklenen tekrarlayan akut interstisyel nefrit.,3
Learning and memory deficits in ecstasy users and their neural correlates during a face - learning task .,Ekstazi istifadəçilərində öyrənmə və yaddaş çatışmazlıqları və onların üz öyrənmə tapşırığı zamanı neyron korrelyatları.,2,Ecstasy kullanıcılarında öğrenme ve bellek eksiklikleri ile bir yüz öğrenme görevi sırasında bunların sinirsel karşılıkları.,3
"In this study , we evaluate the role DRD2 plays in chlorpromazine - induced EPS in schizophrenic patients .","Bu tədqiqatda, biz DRD2-nin şizofreniya xəstələrində klorpromazinin səbəb olduğu EPS-dəki rolunu qiymətləndiririk.",3,"Bu çalışmada, şizofreni hastalarında klorpromazin kaynaklı EPS'de DRD2'nin rolünü değerlendiriyoruz.",3
"In the patient described , the presence of asterixis during infusion of ifosfamide , normal laboratory findings and imaging studies and the resolution of symptoms following the discontinuation of the drug suggest that negative myoclonus is associated with the use of IFX","Təsvir olunan xəstədə ifosfamid infuziyası zamanı asteriksin mövcudluğu, normal laboratoriya tapıntıları və görüntüləmə tədqiqatları, həmçinin dərmanın dayandırılmasından sonra simptomların aradan qaldırılması, neqativ miyoklonusun IFX istifadəsi ilə əlaqəli olduğunu göstərir.",0,"Tanımlanan hastada, ifosfamid infüzyonu sırasında asteriksis varlığı, normal laboratuvar bulguları ve görüntüleme çalışmaları ile ilacın kesilmesinin ardından semptomların çözülmesi, negatif miyoklonusun IFX kullanımına bağlı olduğunu önermektedir.",3
"p .) decreased convulsion incidence and severity and prolonged latency time to convulsion following injection with a convulsive dose of lindane ( 8 mg / kg , i .","p.) konvulsiyaların baş vermə tezliyini və şiddətini azaldıb və lindan ilə konvulsiv dozada (8 mg / kg, i.) inyeksiyadan sonra konvulsiyaya qədər gecikmə müddətini uzatmışdır.",3,"p.) konvülsiyon insidansını ve şiddetini azaltmış ve lindan (8 mg/kg, i.v.) ile yapılan konvülsif doz enjeksiyonundan sonra konvülsiyona geçiş süresini uzatmıştır.",3
"Thus , consistent with its direct effect on heart , PAF appears to be implicated in bupivacaine - induced cardiovascular alterations","Buna görə, ürəyə birbaşa təsiri ilə uyğun olaraq, PAF bupivakainin səbəb olduğu kardiovaskulyar dəyişikliklərdə iştirak edir.",3,"Bu nedenle, kalp üzerindeki doğrudan etkisiyle tutarlı olarak, PAF'ın bupivakain kaynaklı kardiyovasküler değişikliklerde rol oynadığı görünmektedir.",3
5 flourouracil - induced apical ballooning syndrome : a case report .,5-fluorouracil ilə inducə olunmuş apikal balonlaşma sindromu: bir hal hesabatı.,0,5-fluorouracil ile indüklenen apikal balonlaşma sendromu: bir olgu sunumu.,3
"5 ). Possible risk factors included young age , concurrent use of other analgesic agents ( especially ibuprofen ), preexisting renal disease , a history of kidney stones , a history of gout , a recent increase in activity , a recent increase in sun exposure , and residence in the Sunbelt .","Mümkün risk faktorları arasında gənc yaş, digər analjezik vasitələrin (xüsusilə ibuprofenin) eyni zamanda istifadəsi, mövcud böyrək xəstəliyi, böyrək daşları tarixi, gut tarixi, son dövrlərdə fəaliyyətin artması, günəşə məruz qalmanın artması və Günəş kəmərində yaşamaq yer alır.",1,"Olası risk faktörleri arasında genç yaş, diğer analjezik ajanların (özellikle ibuprofen) eşzamanlı kullanımı, mevcut böbrek hastalığı, böbrek taşı öyküsü, gut hastalığı öyküsü, son zamanlarda artan aktivite, son zamanlarda artan güneş maruziyeti ve Güneş Kuşağı'nda ikamet etme yer almaktadır.",3
A mouse inflammatory cytokine and receptor RT2 profiler array was used to determine regulated transcripts in the urinary bladder of wild type ( WT ) and VIP (-/-) mice with or without CYP - induced cystitis ( 150 mg / kg ; i .,"Siçan iltihabi sitokin və reseptor RT2 profayler arayından istifadə edərək, vəhşi tip (WT) və VIP (-/-) siçanlarının sidik kisəsində CYP - ilə induksiya olunmuş sistit (150 mg / kg; i.) olan və ya olmayan tənzimlənən transkriptlər müəyyən edildi.",1,"Bir fare iltihaplanma sitokin ve reseptör RT2 profilleme dizisi, CYP - indüklenmiş sistit (150 mg / kg; i.) ile veya olmadan, vahşi tip (WT) ve VIP (-/-) farelerin idrar kesesindeki düzenlenmiş transkriptleri belirlemek için kullanıldı.",3
"However , when a second dose of the steroid was administered 1 hr after the first dose , complete protection from the kainic acid - induced limbic seizures and status epilepticus was obtained .","Lakin, steroidin ikinci dozası birinci dozadan 1 saat sonra verildikdə, kainik turşusu ilə induksiya olunmuş limbik tutmalar və status epileptikusdan tam müdafiə əldə edildi.",1,"Ancak, steroidin ikinci dozu ilk dozdan 1 saat sonra uygulandığında, kainik asit kaynaklı limbik nöbetler ve status epilepticus'tan tam koruma sağlandı.",3
Activities of heart tissue enzymic antioxidants and serum non - enzymic antioxidants levels rose significantly upon mangiferin administration as compared to ISPH - induced MI rats .,Mangiferin tətbiqindən sonra ürək toxumasının enzimatik antioksidantlarının və serumun qeyri-enzimatik antioksidantlarının səviyyələri ISPH ilə induksiya olunmuş MI siçanları ilə müqayisədə əhəmiyyətli dərəcədə artdı.,2,"Mangiferin uygulaması sonrasında kalp dokusu enzimatik antioksidan aktiviteleri ve serum non-enzimatik antioksidan seviyeleri, ISPH ile indüklenen MI sıçanlarına kıyasla önemli ölçüde arttı.",3
Phenylephrine but not ephedrine reduces frontal lobe oxygenation following anesthesia - induced hypotension .,"Fenilefrin, amma efedrin deyil, anesteziya ilə bağlı hipotansiyadan sonra ön lobun oksigenləşməsini azaldır.",3,"Fenilefrin, ancak efedrin değil, anesteziye bağlı hipotansiyon sonrası frontal lob oksijenasyonunu azaltır.",3
Bilateral haemorrhagic infarction of the globus pallidus after cocaine and alcohol intoxication .,Kokain və spirt intoksikasiyasından sonra globus pallidusun ikitərəfli hemorajik infarktı.,3,Kokain ve alkol zehirlenmesi sonrası globus pallidus'un bilateral hemorajik infarktüsü.,3
"In summary , our results showed that betaine pretreatment attenuated isoproterenol - induced acute myocardial ischemia","Xülasə olaraq, nəticələrimiz betainin əvvəlcədən müalicəsinin izoproterenolun səbəb olduğu kəskin ürək əzələsi iskemiyasını azaltdığını göstərdi.",3,"Özetle, sonuçlarımız betain ön tedavisinin isoproterenol ile indüklenen akut miyokard iskemisini azalttığını gösterdi.",3
"Drowsiness was common on clonidine , but generally resolved by 6 to 8 weeks .","Yuxululuq klonidin istifadə edənlərdə geniş yayılmışdı, lakin ümumiyyətlə 6-dan 8 həftəyə qədər həll olundu.",2,"Klonidin kullanımı sırasında uyku hali yaygındı, ancak genellikle 6 ila 8 hafta içinde geçti.",2
These findings are strong support for the adrenaline - hypertension,Bu tapıntılar adrenalinin hipertoniya ilə əlaqəsi üçün güclü dəstəkdir.,3,"Bu bulgular, adrenalin - hipertansiyon ilişkisi için güçlü bir destek sağlamaktadır.",3
"After 1 week of recovery , proteinuria was induced by adriamycin [ 1 .","1 həftə bərpa olunandan sonra, proteinuriya adriamisinlə induksiya edildi.",1,"1 haftalık iyileşme sonrası, proteinüri adriamisin ile indüklendi.",3
034 ). Pain severity and analgesic requirements were unaffected by the omission of fentanyl .,034 ). Ağrı şiddəti və analjezik tələbləri fentanilin buraxılması ilə təsirlənmədi.,3,034). Fentanil'in çıkarılmasının ağrı şiddeti ve analjezik gereksinimlerini etkilemedi.,3
Previous clinical studies have proposed that risperidone ' s pharmacologic profile may produce improved efficacy for negative psychotic symptoms and decreased propensity for extrapyramidal side effects ; features shared by so - called ' atypical ' neuroleptics .,"Əvvəlki klinik tədqiqatlar risperidonun farmakoloji profilinin mənfi psixotik simptomlar üçün yaxşılaşdırılmış effektivlik və ekstrapiramidal yan təsirlərə qarşı azalmış meyl yarada biləcəyini təklif etmişdir; bu, ""atipik"" neuroleptiklərin paylaşdığı xüsusiyyətlərdir.",2,"Önceki klinik çalışmalar, risperidonun farmakolojik profilinin negatif psikotik semptomlar için geliştirilmiş etkinlik ve ekstrapiramidal yan etkiler için azalmış eğilim üretebileceğini önermiştir; bu özellikler, sözde 'atipik' nöroleptiklerle paylaşılmaktadır.",3
OBJECTIVE : To report a case of syndrome of inappropriate anti-diuretic hormone ( SIADH ) secretion associated with desvenlafaxine .,MƏQSƏD: Desvenlafaksin ilə əlaqəli uyğun olmayan antidiüretik hormon (SIADH) sekresiyası sindromunun bir halını bildirmək.,1,AMAÇ: Desvenlafaksin ile ilişkili uygunsuz antidiüretik hormon (SIADH) sekresyonu sendromu olgusunu bildirmek.,2
